name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A56	A	56	3.5	3	3	orange	3	0	A_Ssmi_56	Ssmi_4	ssmi	56	3.26	1.09	70.1	0.08	36.7	194	15:24	08:00	07:24	7.4	281	NA	12.08.2015	04.08.2015	7.32
A56	A	56	3.5	3	3	orange	3	0	A_Ssmi_56	Ssmi_4	ssmi	56	3.68	1.37	70.2	16	34.8	117	10:02	08:00	02:02	2.03	321	NA	20.08.2015	04.08.2015	7.32
A56	A	56	3.5	3	3	orange	0	1	A_Ssmi_56	Ssmi_4	ssmi	56	3.3	1.47	NA	NA	NA	188	12:50	08:00	04:50	4.83	NA	NA	31.07.2015	14.07.2015	7.32
A57	A	57	0	3.5	9	black 	12	0	A_Ptom_57	Ptom_4	ptom	57	-0.61	0.44	70.1	0.01	39.2	572	12:38	08:00	04:38	4.63	395	NA	07.08.2015	04.08.2015	4.71
A57	A	57	0	3.5	9	black	5	1	A_Ptom_57	Ptom_4	ptom	57	-0.34	0.56	NA	NA	NA	531	12:55	08:00	04:55	4.92	NA	NA	31.07.2015	14.07.2015	4.71
A59	A	59	1	3.5	15	red	17	1	A_Pmal_59	8L_Pmal_9	pmal	59	0.53	0.59	71.5	0.03	37.3	284	15:30	08:00	07:30	7.5	402	NA	12.08.2015	04.08.2015	4.78
A6	A	6	2.5	0	6	yellow	6	0	A_Slep_6	8Pslep_2	slep	6	7.31	1.76	70.2	0.25	35.4	151	10:42	08:00	02:42	2.7	267	NA	12.08.2015	04.08.2015	5.2
A6	A	6	2.5	0	6	yellow	0	1	A_Slep_6	8Pslep_2	slep	6	0.46	0.98	NA	NA	NA	74	11:45	08:00	03:45	3.75	NA	NA	29.07.2015	14.07.2015	5.2
A60	A	60	1.5	3.5	9	black 	12	0	A_Ptom_60	Ptom_2_RDC	ptom	60	-0.02	0.2	70.5	0.01	39.8	474	12:44	08:00	04:44	4.73	422	NA	07.08.2015	04.08.2015	3.31
A61	A	61	2	3.5	0	white	0	0	A_Slep_61	Slep_m_122	slep	61	0.79	0.48	70.8	0.03	37.1	260	15:35	08:00	07:35	7.58	314	NA	12.08.2015	04.08.2015	4.24
A64	A	64	3.5	3.5	12	blue	15	0	A_Sxan_64	8L_Sxan_10	sxan	64	-0.93	0.24	71.2	0.01	38.5	196	12:50	08:00	04:50	4.83	521	NA	07.08.2015	04.08.2015	3.53
A66	A	66	0.5	4	6	yellow	2	1	A_Dry_66	DL_Tawau	dry	66	-0.57	0.41	NA	NA	NA	492	13:00	08:00	05:00	5	NA	NA	31.07.2015	14.07.2015	4.42
A67	A	67	1	4	18	silver	23	1	A_Ssmi_67	Ssmi_5	ssmi	67	0.52	0.54	70.8	0.03	37.1	289	15:41	08:00	07:41	7.68	341	NA	12.08.2015	04.08.2015	4.66
A68	A	68	1.5	4	21	green	16	1	A_Ssem_68	SS	ssem	68	-0.11	0.33	NA	NA	NA	90	10:02	08:00	02:02	2.03	NA	NA	30.07.2015	14.07.2015	4.18
A68	A	68	1.5	4	21	green	20	1	A_Ssem_68	SS	ssem	68	-1.14	0.15	NA	NA	NA	41	13:12	08:00	05:12	5.2	NA	NA	03.08.2015	14.07.2015	4.18
A7	A	7	3	0	6	yellow	6	0	A_Ptom_7	Ptom_3	ptom	7	0.92	0.88	70.8	0.06	35	116	10:48	08:00	02:48	2.8	342	NA	12.08.2015	04.08.2015	4.24
