cenus	name	mother	block	poss	xcoord	ycoord	treat	col.E	tag	sp	dia	height	leaf	sday	surv	Bleaf	Bstem	Broot	Btotal
4	B62	11H_Sxan_1	B	62	7	3.5	3	orange	B_Sxan_62	Sxan	7.07	415	18	84	1	6972.5	0	3259.4	10231.9
4	B63	8P_Slep_4	B	63	7.5	3.5	15	red	B_Slep_63	Slep	7.08	328	4	84	1	566.3	2748.1	1764.7	5079.1
4	B64	Pt_m_5	B	64	8	3.5	3	orange	B_Ptom_64	Ptom	6.81	469	4	84	1	1662.1	4762.1	2665	9089.2
4	B65	DL_m_2	B	65	4.5	4	6	yellow	B_Dry_65	Dry	6.78	750	17	84	1	4726.8	8554.4	3196.4	16477.6
4	B66	Ssmi_19	B	66	5	4	12	blue	B_Ssmi_66	Ssmi	5.6	532	1	84	1	401.2	4455.7	1493.2	6350.1
4	B67	Pm_m_4	B	67	5.5	4	21	green	B_Pmal_67	Pmal	5.35	250	0	84	1	0	1938.6	1166	3104.6
4	B68	ou_SJoh	B	68	6	4	6	yellow	B_Sjoh_68	Sjoh	5.73	442	3	84	1	1487.1	3260.5	2180.4	6928
4	B69	SL_m_72	B	69	6.5	4	15	red	B_Slep_69	Slep	7.18	448	9	84	1	1166.8	4277.7	1343.2	6787.7
4	B70	SS	B	70	7	4	0	white	B_Ssem_70	Ssem	6.35	382	12	84	1	2922.3	4226.9	3437.3	10586.5
4	B71	9Q_Spar_10	B	71	7.5	4	21	green	B_Spar_71	Spar	NA	NA	NA	26	0	NA	NA	NA	NA
4	B72	Ssmi_Tawau	B	72	8	4	6	yellow	B_Ssmi_72	Ssmi	NA	NA	NA	47	0	NA	NA	NA	NA
4	B73	Spar_1	B	73	4.5	4.5	6	yellow	B_Spar_73	Spar	4.61	390	1	84	1	203.9	1574	1312.4	3090.3
4	B74	Pmal_m_1	B	74	5	4.5	12	blue	B_Pmal_74	Pmal	3.9	390	0	84	1	0	1788.5	1502	3290.5
4	B75	Slep_1	B	75	5.5	4.5	6	yellow	B_Slep_75	Slep	6.15	441	4	84	1	804.5	2937.5	1762.4	5504.4
4	B76	Ptom_3_rdc	B	76	6	4.5	6	yellow	B_Ptom_76	Ptom	4.92	282	1	84	1	525.6	1816.8	1388.2	3730.6
4	B77	SJ_m_5	B	77	6.5	4.5	6	yellow	B_Sjoh_77	Sjoh	4.7	370	7	84	1	1206.9	1927.1	1273.2	4407.2
4	B78	8K_SJoh_8	B	78	7	4.5	9	black	B_Sjoh_78	Sjoh	4.88	385	2	84	1	824.8	2038.2	1197.1	4060.1
4	B79	8m_SJoh_7	B	79	7.5	4.5	18	silver	B_Sjoh_79	Sjoh	NA	NA	NA	41	0	NA	NA	NA	NA
4	B80	S.Joh_m_7	B	80	8	4.5	15	red	B_Sjoh_80	Sjoh	NA	NA	NA	72	0	NA	NA	NA	NA
4	B81	SS	B	81	4.5	5	9	black	B_Ssem_81	Ssem	7.09	350	8	84	1	1999.1	4070.3	2331.2	8400.6
4	B82	Pt_m_4	B	82	5	5	3	orange	B_Ptom_82	Ptom	NA	NA	NA	33	0	NA	NA	NA	NA
4	B83	8m_SJoh_9	B	83	5.5	5	15	red	B_Sjoh_83	Sjoh	NA	NA	NA	32	0	NA	NA	NA	NA
4	B84	SS	B	84	6	5	9	black	B_Ssem_84	Ssem	5.72	275	8	84	1	1170.5	2580.5	1710.3	5461.3
4	B85	SHOREABECCARINA_Sbec	B	85	6.5	5	12	blue	B_Sbec_85	Sbec	NA	NA	NA	44	0	NA	NA	NA	NA
4	B86	Ssmi_Tawau	B	86	7	5	18	silver	B_Ssmi_86	Ssmi	5.3	340	0	84	1	0	2071.8	1471.1	3542.9
4	B87	DL_m_1	B	87	7.5	5	18	silver	B_Dry_87	Dry	7.16	578	0	84	1	0	4517.6	2712.1	7229.7
4	B88	SL_maliau	B	88	8	5	12	blue	B_Slep_88	Slep	NA	NA	NA	14	0	NA	NA	NA	NA
4	B89	12H_Pmal_1	B	89	4.5	5.5	3	orange	B_Pmal_89	Pmal	6.97	425	7	84	1	3166.2	4983.3	3129.3	11278.8
4	B90	SJ_m_4	B	90	5	5.5	3	orange	B_Sjoh_90	Sjoh	4.61	470	1	84	1	561.8	1974.7	1142.4	3678.9
4	B91	Sbec_Sfr	B	91	5.5	5.5	18	silver	B_Sbec_91	Sbec	NA	NA	NA	14	0	NA	NA	NA	NA
4	B92	Ssem_ou	B	92	6	5.5	18	silver	B_Ssem_92	Ssem	NA	NA	NA	81	0	NA	NA	NA	NA
4	B93	9K_Sxan_29	B	93	6.5	5.5	9	black	B_Sxan_93	Sxan	NA	NA	NA	40	0	NA	NA	NA	NA
4	B94	DL_m_6	B	94	7	5.5	0	white	B_Dry_94	Dry	5.02	448	15	84	1	3434.4	2778.9	1070.1	7283.4
4	B95	Sxan_3_RDC	B	95	7.5	5.5	0	white	B_Sxan_95	Sxan	4.81	505	15	84	1	3999.4	3824.2	1356.9	9180.5
4	B96	8L_Pmal_9	B	96	8	5.5	6	yellow	B_Pmal_96	Pmal	5.93	330	2	84	1	1230.1	3320.9	2236.1	6787.1
4	B97	Ssmi_19	B	97	4.5	6	6	yellow	B_Ssmi_97	Ssmi	5.99	498	2	84	1	1613.7	4301.4	2055.9	7971
4	B98	8_m_Pmal_8	B	98	5	6	18	silver	B_Pmal_98	Pmal	NA	NA	NA	32	0	NA	NA	NA	NA
4	B99	Ptom_2_RDC	B	99	5.5	6	21	green	B_Ptom_99	Ptom	NA	NA	NA	41	0	NA	NA	NA	NA
4	B100	SHOREABECCARINA_Sbec	B	100	6	6	6	yellow	B_Sbec_100	Sbec	6.24	440	3	84	1	1696.1	4315.9	1411.4	7423.4
4	B101	SL_m_114	B	101	6.5	6	21	green	B_Slep_101	Slep	NA	NA	NA	48	0	NA	NA	NA	NA
4	B102	SS	B	102	7	6	21	green	B_Ssem_102	Ssem	NA	NA	NA	14	0	NA	NA	NA	NA
4	B103	8Pslep_2	B	103	7.5	6	21	green	B_Slep_103	Slep	5.77	452	5	84	1	704.7	2484.6	1603.5	4792.8
4	B104	Ssem_ou	B	104	8	6	6	yellow	B_Ssem_104	Ssem	5.7	453	8	84	1	2931.1	3227.9	2373.1	8532.1
4	B105	DL_Tawau	B	105	4.5	6.5	15	red	B_Dry_105	Dry	5.36	550	10	84	1	1592.7	3009.7	1398	6000.4
4	B106	Dl_m_4	B	106	5	6.5	18	silver	B_Dry_106	Dry	7.14	570	18	84	1	4614.1	6761.6	2843.2	14218.9
4	B107	SP_m_5	B	107	5.5	6.5	15	red	B_Spar_107	Spar	NA	NA	NA	14	0	NA	NA	NA	NA
4	B108	8L_Sxan_10	B	108	6	6.5	0	white	B_Sxan_108	Sxan	4.95	300	11	84	1	2984.2	2449.3	1649.5	7083
4	B109	8m_SJoh_7	B	109	6.5	6.5	12	blue	B_Sjoh_109	Sjoh	4.9	430	3	84	1	800.9	2097.7	1729.3	4627.9
4	B110	11H_Sxan_1	B	110	7	6.5	6	yellow	B_Sxan_110	Sxan	3.18	311	0	84	1	0	591.6	1182.4	1774
4	B111	9K_Sxan_2	B	111	7.5	6.5	18	silver	B_Sxan_111	Sxan	NA	NA	NA	61	0	NA	NA	NA	NA
4	B112	8m_Sxan_3	B	112	8	6.5	15	red	B_Sxan_112	Sxan	NA	NA	NA	33	0	NA	NA	NA	NA
4	B113	12I_Slep_3	B	113	4.5	7	12	blue	B_Slep_113	Slep	9.03	640	16	84	1	2403.2	6658.6	3712.2	12774
4	B114	Sbec_Sfr	B	114	5	7	15	red	B_Sbec_114	Sbec	NA	NA	NA	32	0	NA	NA	NA	NA
4	B115	SL_m_6	B	115	5.5	7	0	white	B_Slep_115	Slep	5.93	573	14	84	1	3025.6	4316.6	2288.8	9631
4	B116	S.Joh_m_7	B	116	6	7	21	green	B_Sjoh_116	Sjoh	2.74	267	0	84	1	0	515.7	424.7	940.4
4	B117	8L_Ptom_6	B	117	6.5	7	6	yellow	B_Ptom_117	Ptom	4.65	225	1	84	1	358.9	751.8	951.4	2062.1
4	B118	Pmal_1_RDC	B	118	7	7	15	red	B_Pmal_118	Pmal	NA	NA	NA	58	0	NA	NA	NA	NA
4	B119	Ssmi_5	B	119	7.5	7	21	green	B_Ssmi_119	Ssmi	3.61	268	2	84	1	805.1	2259.9	1332.4	4397.4
4	B120	SS	B	120	8	7	12	blue	B_Ssem_120	Ssem	4.63	288	5	84	1	1661.5	1343.5	1164.3	4169.3
4	B121	Sxan_1	B	121	4.5	7.5	12	blue	B_Sxan_121	Sxan	NA	NA	NA	31	0	NA	NA	NA	NA
4	B122	DL_m_7	B	122	5	7.5	21	green	B_Dry_122	Dry	6.29	611	15	84	1	2819.9	5355.4	2394.8	10570.1
4	B123	SS	B	123	5.5	7.5	3	orange	B_Ssem_123	Ssem	5.71	360	13	84	1	2259.8	3480.9	2324.4	8065.1
4	B124	SP_m_7	B	124	6	7.5	21	green	B_Spar_124	Spar	NA	NA	NA	33	0	NA	NA	NA	NA
4	B125	Slep_m_122	B	125	6.5	7.5	3	orange	B_Slep_125	Slep	5.75	512	10	84	1	1371.9	2969	1275.5	5616.4
4	B126	SHOREABECCARINA_Sbec	B	126	7	7.5	0	white	B_Sbec_126	Sbec	3.49	382	5	84	1	2180.8	3466.9	1296.2	6943.9
4	B127	SS	B	127	7.5	7.5	15	red	B_Ssem_127	Ssem	5.39	230	3	84	1	4069	1122.8	790.2	5982
4	B128	Sp_m_4	B	128	8	7.5	6	yellow	B_Spar_128	Spar	4.83	350	3	84	1	1049.2	1833.2	1146.2	4028.6
4	B129	Ssmi_Tawau	B	129	4.5	8	15	red	B_Ssmi_129	Ssmi	NA	NA	NA	31	0	NA	NA	NA	NA
